"Date","Price","Open","High","Low","Change %"
"Jul 05, 2011","140.900","141.120","141.600","140.280","-0.38"
"Jul 06, 2011","140.890","140.520","141.350","140.080","-0.01"
"Jul 07, 2011","140.745","140.510","141.245","139.920","-0.10"
"Jul 08, 2011","140.775","140.270","141.395","139.690","0.02"
"Jul 11, 2011","140.095","139.590","140.855","138.680","-0.48"
"Jul 12, 2011","138.925","139.380","140.105","137.810","-0.84"
"Jul 13, 2011","139.235","138.370","139.535","138.070","0.22"
"Jul 14, 2011","138.940","138.880","140.290","138.120","-0.21"
"Jul 15, 2011","138.905","138.440","139.405","138.270","-0.03"
"Jul 18, 2011","138.755","138.500","139.345","138.000","-0.11"
"Jul 19, 2011","138.515","138.110","138.985","137.820","-0.17"
"Jul 20, 2011","139.230","138.240","139.630","138.050","0.52"
"Jul 21, 2011","139.895","138.830","140.075","138.370","0.48"
"Jul 22, 2011","139.250","139.310","139.860","138.460","-0.46"
"Jul 25, 2011","139.550","139.140","139.780","138.610","0.22"
"Jul 26, 2011","140.300","139.160","141.060","138.820","0.54"
"Jul 27, 2011","140.630","139.840","141.150","139.270","0.24"
"Jul 28, 2011","140.295","139.830","140.835","139.420","-0.24"
"Jul 29, 2011","140.365","139.720","140.685","139.160","0.05"
"Aug 01, 2011","139.550","139.390","140.750","138.770","-0.58"
"Aug 02, 2011","139.410","138.900","140.230","138.700","-0.10"
"Aug 03, 2011","140.170","138.850","140.350","138.660","0.55"
"Aug 04, 2011","139.500","139.650","140.630","138.840","-0.48"
"Aug 05, 2011","140.650","138.940","140.820","138.520","0.82"
"Aug 08, 2011","139.320","141.190","141.840","138.750","-0.95"
"Aug 09, 2011","140.585","138.800","140.695","138.250","0.91"
"Aug 10, 2011","139.615","140.200","140.655","138.590","-0.69"
"Aug 11, 2011","139.555","139.060","140.785","138.330","-0.04"
"Aug 12, 2011","139.290","138.900","139.820","138.240","-0.19"
"Aug 15, 2011","139.425","138.740","139.765","138.090","0.10"
"Aug 16, 2011","139.675","138.980","140.055","138.700","0.18"
"Aug 17, 2011","140.220","139.190","140.670","139.010","0.39"
"Aug 18, 2011","140.250","139.540","140.590","139.130","0.02"
"Aug 19, 2011","139.520","139.680","140.260","138.980","-0.52"
"Aug 22, 2011","139.920","138.940","140.440","138.710","0.29"
"Aug 23, 2011","140.205","139.410","140.995","139.350","0.20"
"Aug 24, 2011","140.550","139.590","140.780","139.540","0.25"
"Aug 25, 2011","140.280","140.120","140.670","139.670","-0.19"
"Aug 26, 2011","140.175","139.990","140.825","139.550","-0.07"
"Aug 29, 2011","140.410","139.820","140.860","139.450","0.17"
"Aug 30, 2011","140.395","139.910","140.495","139.260","-0.01"
